Name,Group,Morphology,SF status,Diameter (pc),Diameter (ly),Luminosity (☉),Luminosity (L*),AGN Type,AGN Fraction,Eddington Mass,Distance (pc),App. Magnitude,Diameter ('),Ellipticity,"SB (mag/"")",Design Details,∆x (pc),∆y (pc),∆z (pc)
Lunularia,Genista Group,IA(s)m,Steady,2239,"7,303",3.52E+07,0.002,None,0,0.00E+00,1.00E+06,10.96,7.70,0.33,25.10,propagating envelope,-1.43E+05,-5.68E+04,1.57E+05
Dacrycarpus,Genista Group,IAB(s)m,Steady,2048,"6,680",7.13E+07,0.005,None,0,0.00E+00,1.00E+06,10.20,7.04,0.2,24.33,tears,2.23E+04,-1.34E+05,1.50E+05
Pherosphaera,Genista Group,dSph/IA(s)m,Steady,1746,"5,695",4.38E+07,0.003,None,0,0.00E+00,1.00E+06,10.73,6.00,0.2,24.51,dSph transitional,2.45E+05,2.89E+05,-1.76E+05
Phyllocladus,Genista Group,IB(s)m,Steady,5991,"19,540",3.74E+08,0.026,None,0,0.00E+00,1.00E+06,8.40,20.60,0.67,23.90,amorphous disk,3.46E+05,4.22E+05,-2.26E+05
Lepidothamnus,Genista Group,IB(s)m,Steady,5448,"17,769",3.67E+08,0.026,None,0,0.00E+00,1.00E+06,8.42,18.73,0.75,23.41,amorphous disk,3.40E+05,4.01E+05,-2.21E+05
Manoao,Genista Group,IA(s)m,Steady,3236,"10,554",2.14E+08,0.015,None,0,0.00E+00,1.00E+06,9.01,11.12,0.67,23.17,tadpole,-2.67E+05,-2.00E+05,-2.00E+05
Selenastrum,Balanophora Group,Amorphous,Starburst,37741,"123,095",2.16E+10,1.528,Sy1 + Sy1,0,0.00E+00,1.00E+06,3.99,129.68,0.75,23.19,amorphous merger,,,
Tetrabaena,Balanophora Group,SA(s)a pec,Starburst,22761,"74,236",1.05E+10,0.739,NLSy1,0.464,1.52E+05,1.00E+06,4.78,78.23,0.9,21.88,mayall's outflow,,,
Gonium,Balanophora Group,SA(s)dm pec,Starburst,27666,"90,234",5.45E+09,0.386,None,0,0.00E+00,1.00E+06,5.49,95.08,0.3,25.13,mayall's disintegrating,,,
Tulostoma,Balanophora Group,SAB(rs)c pec,Starburst,49154,"160,319",5.51E+10,3.898,Sy1.8,1.741,3.00E+06,1.00E+06,2.98,168.84,0.2,24.01,distorted ULIRG,,,
Mycocalia,Balanophora Group,SB(r)a pec,Starburst,23464,"76,529",7.60E+09,0.538,Sy1,2.383,5.66E+05,1.00E+06,5.13,80.65,0.5,24.04,six cores,,,
Geosiris,Balanophora Group,SB(s)b,Starburst,30660,"99,999",8.43E+09,0.596,None,0,0.00E+00,1.00E+06,5.02,105.37,0.67,24.06,starburst,,,
Soridium,Balanophora Group,SA(r)c pec,Starburst,82101,"267,777",5.43E+10,3.841,None,0,0.00E+00,1.00E+06,2.99,281.61,0,25.37,subdued starburst,,,
Leptomeria,Balanophora Group,SAB(s)cd,Steady,20504,"66,875",6.60E+09,0.467,None,0,0.00E+00,1.00E+06,5.28,70.48,0.33,24.22,pencil-thin arms,,,
Datura,Balanophora Group,(R')SB(r)d,Steady,53680,"175,081",2.06E+10,1.457,Sy1,1.38,8.88E+05,1.00E+06,4.05,184.36,0,25.51,toxic,,,
Orectanthe,Balanophora Group,(R')SA(s)c,Steady,33333,"108,718",1.40E+10,0.990,None,0,0.00E+00,1.00E+06,4.46,114.55,0.75,23.39,spiky and dense,,,
Triphysaria,Balanophora Group,SAB(rs)bc,Steady,23566,"76,862",7.64E+09,0.540,Sy2,2.373,5.67E+05,1.00E+06,5.12,81.00,0.1,24.68,strong inner lens,,,
Conopholis,Balanophora Group,Amorphous,Starburst,20191,"65,854",8.56E+09,0.606,None,0,0.00E+00,1.00E+06,5.00,69.40,0.5,23.59,BANANA,,,
Galerina,Balanophora Group,SB(r)b pec,Elevated,33603,"109,598",1.80E+10,1.275,Sy1.5,4.38,2.47E+06,1.00E+06,4.19,115.48,0.5,23.88,broken outer ring,,,
Dissoderma,Balanophora Group,SA(s)0,Quenched,3519,"11,477",3.33E+08,0.024,None,0,0.00E+00,1.00E+06,8.52,12.10,0.67,22.87,embedded dS0,,,
Balanophora,Balanophora Group,(R)SA(s)cd pec,Starburst,28409,"92,658",3.57E+10,2.525,Sy2/LINER,0.576,6.43E+05,1.00E+06,3.45,97.64,0.3,23.14,heart-shaped ring,0.00E+00,0.00E+00,0.00E+00
Helosis,Balanophora Group,Amorphous,Starburst,24202,"78,936",1.06E+10,0.747,Radio-quiet QSO,15.847,5.23E+06,1.00E+06,4.77,83.18,0.5,23.75,teacup polar ring,,,
Pandorina,Balanophora Group,SA(s)0 pec,Quenched,7100,"23,157",8.32E+08,0.059,LINER,0.147,3.82E+03,1.00E+06,7.53,24.41,0.8,22.85,yellow s0,,,
Eudorina,Balanophora Group,IA(s)m pec,Elevated,4479,"14,609",3.46E+08,0.024,None,0,0.00E+00,1.00E+06,8.48,15.40,0.67,23.35,comet irr,,,
Volvox,Balanophora Group,(R)SA(s)0a,Anemic,86474,"282,040",1.10E+10,0.781,Sy1.5,0.229,7.90E+04,1.00E+06,4.72,296.54,0.7,25.91,forming tidal dwarfs,,,
Tsuga,Sarracenia Group,SA(s)ab pec,Rejuvenating,62647,"204,327",4.20E+10,2.971,Sy1,0.0859,1.13E+05,1.00E+06,3.27,215.08,0.8,23.32,dusty S w high HII,,,
Ganoderma,Sarracenia Group,SB(rs)0a pec,Terminal,14417,"47,022",2.01E+09,0.142,None,0,0.00E+00,1.00E+06,6.57,49.56,0.5,24.43,yellow ringed S,,,
Sarracenia,Sarracenia Group,SB(r)ab pec,Elevated,24686,"80,515",1.09E+10,0.769,LINER,0.1374,4.67E+04,1.00E+06,4.74,84.85,0.4,23.96,"thick bar, M91-like",0.00E+00,0.00E+00,0.00E+00
Cephalotus,Sarracenia Group,SA(r)b pec,Elevated,23343,"76,135",1.08E+10,0.764,None,0,0.00E+00,1.00E+06,4.75,80.23,0.2,24.16,"offset bulge, arms",,,
Euphrasia,Sarracenia Group,SB(rs)0a pec,Rejuvenating,9520,"31,050",1.62E+09,0.115,HII nucleus,0.0338,1.71E+03,1.00E+06,6.81,32.73,0.67,23.31,S0 w tidal arm,,,
Epifagus,Sarracenia Group,SA(s)d pec,Starburst,10336,"33,711",2.43E+09,0.172,HII nucleus,0.2383,1.81E+04,1.00E+06,6.37,35.53,0.9,21.75,extreme blue cloud,,,
Striga,Sarracenia Group,SA(s)m,Steady,8385,"27,348",1.64E+09,0.116,None,0,0.00E+00,1.00E+06,6.79,28.82,0,24.23,amorphous w tail,,,
Rehmannia,Sarracenia Group,IAB(s)m,Steady,7728,"25,205",2.52E+08,0.018,None,0,0.00E+00,1.00E+06,8.83,26.57,0.5,25.33,LSB Irr dwarf,,,
Lamproderma,Sarracenia Group,SAB(s)m,Starburst,10741,"35,032",3.14E+09,0.222,None,0,0.00E+00,1.00E+06,6.09,36.92,0.3,23.67,colorvomit,,,
Hemitomes,Sarracenia Group,IB(s)m,Steady,1579,"5,150",1.77E+07,0.001,None,0,0.00E+00,1.00E+06,11.71,5.43,0.67,24.31,extended stellar halo,,,
Stenocarpus,Sarracenia Group,(R)SA(s)b pec,Elevated,54401,"177,432",3.14E+10,2.222,Sy1,0.282,2.77E+05,1.00E+06,3.59,186.83,0,25.08,wheel galaxy,,,
Spirodela,Sarracenia Group,Amorphous,Starburst,5617,"18,320",6.16E+08,0.044,None,0,0.00E+00,1.00E+06,7.86,19.31,0.75,22.91,dwarf merger,,,
Neochloris,Theobroma Group,(R)E0 pec,Anemic,27748,"90,502",1.33E+10,0.942,LINER,0.0147,6.12E+03,1.00E+06,4.52,95.37,0,24.55,green valley E,,,
Leonotis,Theobroma Group,IA(s)m,Firestorm,12705,"41,438",1.02E+10,0.723,HII nucleus,0.0155,4.95E+03,1.00E+06,4.81,43.67,0,23.14,newborn E/Irr,,,
Ricinus,Theobroma Group,SAB(rs)bc,Elevated,39073,"127,439",1.90E+10,1.344,None,0,0.00E+00,1.00E+06,4.13,134.25,0.67,23.70,multi-arm merger,,,
Dendrocnide,Theobroma Group,SAB(r)b,Anemic,35936,"117,207",1.46E+10,1.033,LINER,0.0985,4.49E+04,1.00E+06,4.42,123.49,0.7,23.70,SAB grand-design,,,
Adonis,Theobroma Group,SA(s)c,Steady,20097,"65,548",7.77E+09,0.550,None,0,0.00E+00,1.00E+06,5.10,69.08,0.33,24.00,escaping CG,,,
Digitalis,Theobroma Group,SB(s)c pec,Elevated,31357,"102,273",8.20E+09,0.580,HII nucleus,0.0827,2.12E+04,1.00E+06,5.05,107.76,0.4,24.79,distorted 2-arm SB,,,
Theobroma,Theobroma Group,(R)SA(s)0 pec,Steady,48064,"156,764",1.94E+10,1.374,None,0,0.00E+00,1.00E+06,4.11,165.10,0.6,24.34,barrel polar-ring,0.00E+00,0.00E+00,0.00E+00
Nerium,Theobroma Group,SA(s)a pec,Steady,18376,"59,934",1.31E+10,0.927,None,0,0.00E+00,1.00E+06,4.54,63.16,0,23.67,shelled merger S,,,
Anastatica,Theobroma Group,SA(s)0 pec,Rejuvenating,24548,"80,065",8.40E+09,0.594,NLSy1,0.338,8.87E+04,1.00E+06,5.02,84.37,0.3,24.40,rejuvenating S0,,,
Geminella,Theobroma Group,Amorphous,Starburst,4213,"13,741",1.32E+08,0.009,None,0,0.00E+00,1.00E+06,9.53,14.48,0.75,23.96,dwarf merger,,,
Ordospora,Theobroma Group,(R')SA(s)dm pec,Starburst,9110,"29,713",1.14E+09,0.081,HII nucleus,0.084,3.00E+03,1.00E+06,7.19,31.32,0.5,24.05,dwarf ring,,,
Schisandra,Theobroma Group,SA(s)dm pec,Steady,9787,"31,921",1.34E+09,0.095,None,0,0.00E+00,1.00E+06,7.01,33.64,0.75,23.28,dwarf s with tidal tail,,,
Kadsura,Theobroma Group,IAB(s)m,Terminal,4423,"14,426",4.18E+07,0.003,None,0,0.00E+00,1.00E+06,10.78,15.21,0.67,25.62,red Irr,,,
Acorus,Theobroma Group,IA(s)m,Steady,3447,"11,243",1.32E+08,0.009,None,0,0.00E+00,1.00E+06,9.53,11.85,0.5,24.28,toxic,,,
Mucor,Arachnis Group,IAB(s)m,Anemic,4181,"13,637",2.32E+08,0.016,None,0,0.00E+00,1.00E+06,8.92,14.37,0.5,24.09,post-starburst dwarf,,,
Trichocentrum,Arachnis Group,(R')SB(rs)d,Anemic,52094,"169,908",1.07E+10,0.757,LINER,0.868,2.90E+05,1.00E+06,4.76,178.92,0.5,25.40,lopsided ring,0.00E+00,0.00E+00,0.00E+00
Arachnis,Arachnis Group,SB(rs)bc,Steady,100620,"328,178",8.26E+10,5.843,Sy1.9,1.429,3.69E+06,1.00E+06,2.54,344.75,0.5,24.61,long flows,,,
Pterostylis,Arachnis Group,SB(r)c,Steady,39968,"130,358",1.41E+10,0.997,LINER,0.111,4.89E+04,1.00E+06,4.46,137.33,0.2,25.04,ansae bar,,,
Gastrodia,Arachnis Group,SA(s)b,Steady,7027,"22,919",1.05E+09,0.074,None,0,0.00E+00,1.00E+06,7.28,24.16,0,24.33,tiny compact S,,,
Hexalectris,Arachnis Group,SA(r)a,Terminal,50282,"163,998",3.06E+10,2.167,Sy1/LINER,0.565,5.41E+05,1.00E+06,3.61,172.71,0.75,23.43,crimson dust/HII,,,
Encyclia,Arachnis Group,SB(r)bc,Steady,93138,"303,775",8.09E+10,5.723,Sy2,0.0372,9.40E+04,1.00E+06,2.56,319.26,0.6,24.22,lens-bearing S,,,
Adenium,Arachnis Group,SA(r)cd pec,Starburst,16652,"54,311",1.17E+10,0.828,Sy1,0.229,8.37E+04,1.00E+06,4.66,57.24,0.2,23.34,bright white core,,,
Hyoscyamus,Arachnis Group,SAB(r)c,Steady,36636,"119,491",1.32E+10,0.934,Sy1/LINER,0.785,3.24E+05,1.00E+06,4.53,125.89,0,25.16,classical bulge Sc,,,
Psychilis,Arachnis Group,SA(s)bc pec,Elevated,41967,"136,878",1.67E+10,1.181,Sy1,0.335,1.75E+05,1.00E+06,4.27,144.19,0.95,21.95,spectacular display,,,
Cerbera,Arachnis Group,SA(s)b,Steady,4784,"15,603",4.70E+08,0.033,None,0,0.00E+00,1.00E+06,8.15,16.45,0,24.36,tiny,,,
Alamania,Arachnis Group,SA(s)c,Steady,26941,"87,870",1.08E+10,0.764,Sy2,0.1844,6.22E+04,1.00E+06,4.75,92.59,0.67,23.51,bright white base,,,
Vanda,Arachnis Group,SB(s)d,Steady,12701,"41,425",8.40E+08,0.059,None,0,0.00E+00,1.00E+06,7.52,43.66,0.2,25.61,really gas-rich,,,
Brassavola,Arachnis Group,SB(r)bc,Steady,33585,"109,539",1.83E+10,1.295,Sy1,3.873,2.21E+06,1.00E+06,4.17,115.41,0.5,23.87,white heart,,,
Senna,Isolated,SA(rs)a pec,Starburst,18491,"60,310",7.42E+09,0.525,NLSy1,0.228,5.29E+04,1.00E+06,5.15,63.56,0.33,23.87,guitar galaxy,,,
Helicostylis,Isolated,SA(r)0a pec,Steady,20038,"65,355",1.05E+10,0.744,Sy2,0.329,1.08E+05,1.00E+06,4.78,68.88,0,24.10,E-embedded spiral,,,
Stylidium,Isolated,IB(s)m pec,Anemic,3220,"10,502",5.43E+07,0.004,None,0,0.00E+00,1.00E+06,10.49,11.07,0.5,25.09,dying jellyfish irr,,,
Salsola,Isolated,SB(s)0,Quenched,19233,"62,730",4.30E+09,0.304,Sy1/LINER,0.228,3.06E+04,1.00E+06,5.75,66.11,0,24.98,large spherical bulge,,,
Cycloloma,Isolated,SA(r)a,Steady,25448,"83,000",9.90E+09,0.700,Sy1,3.474,1.07E+06,1.00E+06,4.84,87.46,0,24.68,hoag w outer arms,,,
Centaurea,Isolated,SB(rs)0,Quenched,28309,"92,332",7.90E+09,0.559,None,0,0.00E+00,1.00E+06,5.09,97.29,0.5,24.41,overly red,,,
Ammocharis,Isolated,SAB(rs)c,Steady,41444,"135,172",1.20E+10,0.849,Sy1.2,7.609,2.85E+06,1.00E+06,4.63,142.39,0.67,24.33,firework,,,
Alternaria,Isolated,E0 pec,Quenched,1038,"3,385",6.50E+09,0.460,None,0,0.00E+00,1.00E+06,5.30,3.57,0,18.19,cored-out cD,,,
Duvalia,Isolated,SB(s)c,Steady,13536,"44,148",2.79E+09,0.197,None,0,0.00E+00,1.00E+06,6.22,46.53,0.4,24.13,3-arm grand design,,,
Equisetum,Isolated,SB(r)b,Anemic,23977,"78,202",1.28E+10,0.905,Sy1.8,0.219,8.76E+04,1.00E+06,4.56,82.41,0.6,23.28,flocculent SB,,,
Dracaena,Isolated,SA(s)c pec,Steady,60660,"197,846",1.72E+10,1.217,None,0,0.00E+00,1.00E+06,4.24,208.28,0.67,24.76,H II arms,,,
Saraca,Isolated,SB(s)a,Steady,7091,"23,128",4.06E+09,0.287,LINER,0.282,3.58E+04,1.00E+06,5.81,24.38,0.5,22.12,almost bar-only,,,
Lomatia,Isolated,SAB(rs)b,Steady,38169,"124,490",2.74E+10,1.938,None,0,0.00E+00,1.00E+06,3.74,131.15,0.75,22.95,S0-like underdisk,,,
Thalassia,Isolated,SB(s)bc,Steady,60967,"198,848",2.56E+10,1.809,None,0,0.00E+00,1.00E+06,3.81,209.33,0.67,24.34,star-forming bar,,,
Cattleya,Isolated,SB(s)cd,Steady,23036,"75,133",2.61E+09,0.185,HII nucleus,0.184,1.50E+04,1.00E+06,6.29,79.18,0.5,25.16,extreme open S,,,
Dendrobium,Isolated,SAB(rs)bc,Steady,47171,"153,851",2.51E+10,1.776,Sy2,4.731,3.71E+06,1.00E+06,3.83,162.04,0,25.01,hoag w outer arms,,,
Euphorbia,Isolated,SB(r)c,Steady,12298,"40,111",5.06E+09,0.358,Sy1,10.56,1.67E+06,1.00E+06,5.57,42.28,0,23.83,SAB-SB transition,,,
Erodium,Isolated,SA(s)dm,Steady,23157,"75,528",3.73E+09,0.264,Sy1.5,0.765,8.92E+04,1.00E+06,5.90,79.59,0.5,24.79,prominent core X,,,
Philodendron,Isolated,SA(s)dm,Steady,14312,"46,679",1.14E+09,0.081,Sy1.2,0.142,5.06E+03,1.00E+06,7.19,49.20,0,25.78,isolated clumpy S,,,
Rosa,Isolated,SA(r)bc,Steady,38007,"123,962",1.10E+10,0.778,HII nucleus,0.0176,6.05E+03,1.00E+06,4.73,130.60,0.2,25.20,concentric rings,,,
Anisotome,Isolated,SB(r)c,Starburst,74548,"243,143",5.04E+10,3.565,Sy2,0.238,3.75E+05,1.00E+06,3.07,255.80,0.5,24.49,lone starburst S,,,
Asclepias,Isolated,(R')SAB(r)b,Steady,29168,"95,133",1.21E+10,0.859,LINER,0.058,2.20E+04,1.00E+06,4.62,100.24,0.4,24.20,SB(r) w milky oval,,,
Roridula,Isolated,SAB(s)dm,Steady,14094,"45,968",1.07E+09,0.076,None,0,0.00E+00,1.00E+06,7.26,48.45,0.67,24.61,isolated LSB Sd,,,
Aerangis,Isolated,SA(s)c pec,Elevated,59978,"195,622",2.39E+10,1.689,HII nucleus,0.0462,3.45E+04,1.00E+06,3.89,205.94,0.75,24.08,2-armed S with tail,,,
Zamia,Isolated,SA(s)0a pec,Terminal,24565,"80,120",1.64E+10,1.160,LINER,0.1272,6.52E+04,1.00E+06,4.29,84.43,0.2,23.82,fossil group S0,,,
Silphium,Isolated,SB(s)m,Steady,10490,"34,214",3.00E+08,0.021,None,0,0.00E+00,1.00E+06,8.64,36.06,0.9,24.06,diskless bar,,,
Pleuricospora,Isolated,(R')E3 pec,Rejuvenating,60029,"195,788",1.35E+10,0.958,None,0,0.00E+00,1.00E+06,4.50,206.12,0.4,25.65,SR E w giant ring,,,
Pollia,Isolated,E0 pec,Rejuvenating,20505,"66,878",8.63E+09,0.610,LINER,0.455,1.23E+05,1.00E+06,4.99,70.48,0,24.36,strongly blue e,,,
Cistus,Isolated,SAB(rs)ab,Anemic,44551,"145,306",2.19E+10,1.549,Sy2/HII nucleus,3.282,2.25E+06,1.00E+06,3.98,153.05,0.67,23.83,green valley Sa,,,
Cleretum,Isolated,(R')SB(rs)0,Terminal,24331,"79,357",5.00E+09,0.354,None,0,0.00E+00,1.00E+06,5.58,83.63,0.5,24.58,cometary globules,,,
Stelis,Isolated,SB(rs)a,Anemic,33105,"107,974",1.41E+10,0.997,None,0,0.00E+00,1.00E+06,4.46,113.77,0.67,23.67,yellow S,,,
Peristeria,Isolated,SAB(rs)a,Terminal,8588,"28,010",1.61E+09,0.114,LINER,0.1283,6.45E+03,1.00E+06,6.81,29.52,0.5,23.55,compact 2-arm,,,
Hura,Isolated,SB(s)a,Terminal,14313,"46,683",2.78E+09,0.197,Sy1.5,53.481,4.65E+06,1.00E+06,6.22,49.20,0.75,23.31,small T/N,,,
Artomyces,Isolated,SB(s)bc,Steady,33272,"108,519",1.90E+10,1.343,Sy1,0.562,3.33E+05,1.00E+06,4.13,114.34,0.5,23.81,white tips,,,
Maranta,Isolated,SB(s)c,Steady,45163,"147,302",2.34E+10,1.655,None,0,0.00E+00,1.00E+06,3.91,155.15,0,24.99,wings,,,
Canna,Isolated,SAB(s)bc,Steady,50101,"163,407",3.89E+10,2.750,None,0,0.00E+00,1.00E+06,3.36,172.09,0,24.67,paddle arms,,,
Hemiorchis,Isolated,SA(s)cd pec,Starburst,28154,"91,826",6.99E+09,0.494,HII nucleus,0.0443,9.68E+03,1.00E+06,5.22,96.76,0.5,24.53,long plumes,,,
Cipuropsis,Isolated,SB(rs)ab,Anemic,26059,"84,993",7.85E+09,0.556,Sy1.2/LINER,3.382,8.30E+05,1.00E+06,5.09,89.56,0.3,24.60,large core ring,,,
Lophophora,Isolated,SA(s)a pec,Elevated,9984,"32,563",3.14E+09,0.222,Sy1,0.348,3.41E+04,1.00E+06,6.09,34.32,0,23.90,idealized 2-arm S,,,
Ariocarpus,Isolated,SB(rs)0a pec,Rejuvenating,11220,"36,595",2.88E+09,0.204,HII nucleus,0.066,5.95E+03,1.00E+06,6.18,38.57,0.5,23.49,core starburst s0,,,
Inocybe,Isolated,SA(s)0a pec,Elevated,23385,"76,272",1.21E+10,0.859,Sy2,0.474,1.80E+05,1.00E+06,4.62,80.38,0.1,24.16,smooth postmerger,,,
Manicaria,Isolated,SAB(s)ab pec,Starburst,24184,"78,878",1.09E+10,0.774,NLSy1,0.2295,7.85E+04,1.00E+06,4.73,83.12,0.4,23.91,tailed amorphous s,,,
Massonia,Isolated,E0 pec,Starburst,30009,"97,876",1.23E+10,0.872,Sy1/LINER,0.1914,7.37E+04,1.00E+06,4.60,103.13,0,24.80,nuclear starburst E,,,
Azorella,Isolated,Amorphous,Starburst,25509,"83,199",1.95E+10,1.378,Radio-quiet QSO,8.14,4.96E+06,1.00E+06,4.11,87.67,0,23.95,obscured red quasar,,,
Drosera,Phalaenopsis Group,SAB(rs)b,Elevated,45101,"147,100",3.76E+10,2.660,NLSy1,0.214,2.51E+05,1.00E+06,3.39,154.94,0.3,24.09,giant instabilities,,,
Passiflora,Phalaenopsis Group,SB(r)cd pec,Starburst,50191,"163,701",2.36E+10,1.669,HII nucleus,0.035,2.58E+04,1.00E+06,3.90,172.40,0,25.21,one big arm,,,
Phalaenopsis,Phalaenopsis Group,SB(rs)c,Elevated,104193,"339,832",1.55E+11,10.965,Sy2,0.171,8.28E+05,1.00E+06,1.85,356.90,0,24.75,really gas-rich,,,
Allotropa,Phalaenopsis Group,SAB(s)dm,Steady,15318,"49,961",2.60E+09,0.184,None,0,0.00E+00,1.00E+06,6.29,52.66,0,25.03,quite dim,,,
Arabidopsis,Phalaenopsis Group,(R)SA(r)c pec,Firestorm,33185,"108,235",4.47E+10,3.163,Sy1,0.42,5.87E+05,1.00E+06,3.20,114.04,0.33,23.19,active + fire ring,,,
Corypha,Phalaenopsis Group,(R)SAB(s)cd pec,Firestorm,37412,"122,021",4.45E+10,3.145,Sy2,0.49,6.81E+05,1.00E+06,3.21,128.55,0,23.89,half ring + arms,,,
Armillaria,Phalaenopsis Group,IA(s)m,Starburst,3400,"11,089",1.04E+08,0.007,None,0,0.00E+00,1.00E+06,9.79,11.69,0,25.26,no metal BCD,,,
Opuntia,Phalaenopsis Group,E3 pec,Rejuvenating,34840,"113,633",1.44E+10,1.021,LINER,0.016,7.22E+03,1.00E+06,4.43,119.72,0.5,24.20,dusty elliptical,,,
Rhipsalis,Phalaenopsis Group,(R)SA(r)a,Anemic,14551,"47,459",3.01E+09,0.213,None,0,0.00E+00,1.00E+06,6.13,50.02,0.75,23.26,warped,,,
Cryphonectria,Phalaenopsis Group,UDG-R,Quenched,8791,"28,672",1.36E+07,0.001,None,0,0.00E+00,1.00E+06,12.00,30.22,0,29.53,DM-less UDG,,,
Nakataea,Phalaenopsis Group,UDG-R,Quenched,8820,"28,767",1.44E+07,0.001,None,0,0.00E+00,1.00E+06,11.93,30.32,0,29.48,DM-less UDG,,,
Laboulbenia,Phalaenopsis Group,UDG-R,Quenched,8519,"27,785",1.21E+07,0.001,None,0,0.00E+00,1.00E+06,12.12,29.29,0,29.59,DM-less UDG,,,
Entomophthora,Phalaenopsis Group,UDG-R,Quenched,6705,"21,869",7.85E+06,0.001,None,0,0.00E+00,1.00E+06,12.59,23.05,0,29.54,DM-less UDG,,,
Dactylaria,Phalaenopsis Group,UDG-R,Quenched,7741,"25,248",7.99E+06,0.001,None,0,0.00E+00,1.00E+06,12.57,26.61,0,29.83,DM-less UDG,,,
Acremonium,Phalaenopsis Group,UDG-R,Quenched,8229,"26,839",9.57E+06,0.001,None,0,0.00E+00,1.00E+06,12.38,28.29,0,29.77,DM-less UDG,,,
Tetracladium,Phalaenopsis Group,UDG-R,Quenched,6019,"19,631",7.85E+06,0.001,None,0,0.00E+00,1.00E+06,12.59,20.69,0,29.31,All-DM UDG,,,
Myxocephala,Phalaenopsis Group,UDG-R,Quenched,6042,"19,706",7.95E+06,0.001,None,0,0.00E+00,1.00E+06,12.58,20.77,0,29.30,All-DM UDG,,,
Mycena,Phalaenopsis Group,SAB(s)cd pec,Firestorm,11282,"36,797",8.91E+09,0.630,NLSy1,15.24,4.24E+06,1.00E+06,4.96,38.78,0.67,21.83,collisional jellyfish,,,
